,S5449386
2015-06-05,64.0
2015-06-12,59.0
2015-06-19,66.0
2015-06-26,68.0
2015-07-03,65.0
2015-07-10,66.0
2015-07-17,75.0
2015-07-24,78.0
2015-07-31,79.0
2015-08-07,75.0
2015-08-14,82.0
2015-08-21,77.0
2015-08-28,75.0
2015-09-06,73.0
2015-09-11,75.0
2015-09-18,71.0
2015-09-25,79.0
2015-10-10,75.0
2015-10-16,78.0
2015-10-23,78.0
2015-10-30,74.0
2015-11-06,73.0
2015-11-13,70.0
2015-11-20,72.0
2015-11-27,70.0
2015-12-04,63.0
2015-12-11,58.0
2015-12-18,57.0
2015-12-25,67.0
2015-12-31,64.0
2016-01-08,53.0
2016-01-15,59.0
2016-01-22,54.0
2016-01-29,53.0
2016-02-05,50.0
2016-02-19,64.0
2016-02-26,72.0
2016-03-04,67.0
2016-03-11,62.0
2016-03-18,68.0
2016-03-25,68.0
2016-04-01,64.0
2016-04-08,68.0
2016-04-15,65.0
2016-04-22,68.0
2016-04-29,73.0
2016-05-06,67.0
2016-05-13,67.0
2016-05-20,67.0
2016-05-26,67.0
2016-06-02,64.0
2016-06-08,62.0
2016-06-16,67.0
2016-06-23,68.0
2016-06-30,70.0
2016-07-07,67.0
2016-07-14,73.0
2016-07-21,70.0
2016-07-28,76.0
2016-08-04,74.0
2016-08-11,67.0
2016-08-18,70.0
2016-08-25,65.0
2016-09-01,67.0
2016-09-08,67.0
2016-09-14,65.0
2016-09-22,61.0
2016-09-29,66.0
2016-10-13,66.0
2016-10-20,67.0
2016-10-27,63.0
2016-11-03,66.0
2016-11-10,62.0
2016-11-17,60.0
2016-11-24,56.56
2016-12-01,55.0
2016-12-08,52.0
2016-12-15,56.0
2016-12-22,51.0
2016-12-29,47.0
2017-01-05,55.0
2017-01-12,54.0
2017-01-19,50.0
2017-02-09,47.0
2017-02-16,50.0
2017-02-23,56.0
2017-03-02,58.6
2017-03-09,55.2
2017-03-16,56.6
2017-03-23,53.4
2017-03-30,52.4
2017-04-07,52.2
2017-04-13,54.0
2017-04-20,51.4
2017-04-27,49.8
2017-05-04,51.0
2017-05-11,49.4
2017-05-18,54.6
2017-05-25,58.2
2017-06-02,59.2
2017-06-08,60.8
2017-06-15,57.2
2017-06-22,61.0
2017-06-29,56.0
