,S0031550
1988-10-19,1317.0
1988-10-20,1316.0
1988-10-21,1328.0
1988-10-24,1361.0
1988-10-25,1363.0
1988-10-26,1364.0
1988-10-27,1369.0
1988-10-28,1371.0
1988-10-31,1373.0
1988-11-01,1378.0
1988-11-02,1390.0
1988-11-03,1396.0
1988-11-04,1398.0
1988-11-07,1410.0
1988-11-08,1415.0
1988-11-09,1420.0
1988-11-10,1424.0
1988-11-11,1434.0
1988-11-14,1444.0
1988-11-15,1454.0
1988-11-16,1473.0
1988-11-17,1482.0
1988-11-18,1492.0
1988-11-21,1495.0
1988-11-22,1503.0
1988-11-23,1517.0
1988-11-24,1517.0
1988-11-25,1512.0
1988-11-28,1511.0
1988-11-29,1510.0
1988-11-30,1501.0
1988-12-01,1501.0
1988-12-02,1490.0
1988-12-05,1488.0
1988-12-06,1487.0
1988-12-07,1485.0
1988-12-08,1486.0
1988-12-09,1494.0
1988-12-12,1514.0
1988-12-13,1518.0
1988-12-14,1522.0
1988-12-15,1524.0
1988-12-16,1518.0
1988-12-19,1517.0
1988-12-20,1518.0
1988-12-21,1523.0
1988-12-22,1523.0
1988-12-23,1527.0
1988-12-28,1529.0
1988-12-29,1540.0
1988-12-30,1543.0
1989-01-03,1544.0
1989-01-04,1553.0
1989-01-05,1555.0
1989-01-06,1578.0
1989-01-09,1589.0
1989-01-10,1604.0
1989-01-11,1620.0
1989-01-12,1629.0
1989-01-13,1635.0
1989-01-16,1642.0
1989-01-17,1643.0
1989-01-18,1650.0
1989-01-19,1648.0
1989-01-20,1644.0
1989-01-23,1646.0
1989-01-24,1645.0
1989-01-25,1634.0
1989-01-26,1633.0
1989-01-27,1617.0
1989-01-30,1619.0
1989-01-31,1619.0
1989-02-01,1608.0
1989-02-02,1607.0
1989-02-03,1584.0
1989-02-06,1553.0
1989-02-07,1542.0
1989-02-08,1533.0
1989-02-09,1526.0
1989-02-10,1523.0
1989-02-13,1511.0
1989-02-14,1506.0
1989-02-15,1503.0
1989-02-16,1499.0
1989-02-17,1495.0
1989-02-20,1502.0
1989-02-21,1506.0
1989-02-22,1512.0
1989-02-23,1513.0
1989-02-24,1529.0
1989-02-27,1543.0
1989-02-28,1553.0
1989-03-01,1563.0
1989-03-02,1577.0
1989-03-03,1588.0
1989-03-06,1593.0
1989-03-07,1597.0
1989-03-08,1608.0
1989-03-09,1615.0
1989-03-10,1623.0
1989-03-13,1624.0
1989-03-14,1632.0
1989-03-15,1640.0
1989-03-16,1647.0
1989-03-17,1645.0
1989-03-20,1644.0
1989-03-21,1644.0
1989-03-22,1640.0
1989-03-23,1638.0
1989-03-28,1632.0
1989-03-29,1631.0
1989-03-30,1624.0
1989-03-31,1631.0
1989-04-03,1619.0
1989-04-04,1614.0
1989-04-05,1621.0
1989-04-06,1620.0
1989-04-07,1622.0
1989-04-10,1623.0
1989-04-11,1621.0
1989-04-12,1622.0
1989-04-13,1619.0
1989-04-14,1626.0
1989-04-17,1627.0
1989-04-18,1621.0
1989-04-19,1617.0
1989-04-20,1620.0
1989-04-21,1617.0
1989-04-24,1619.0
1989-04-25,1621.0
1989-04-26,1622.0
1989-04-27,1624.0
1989-04-28,1629.0
1989-05-02,1641.0
1989-05-03,1649.0
1989-05-04,1687.0
1989-05-05,1693.0
1989-05-08,1699.0
1989-05-09,1704.0
1989-05-10,1715.0
1989-05-11,1727.0
1989-05-12,1748.0
1989-05-15,1749.0
1989-05-16,1751.0
1989-05-17,1744.0
1989-05-18,1748.0
1989-05-19,1744.0
1989-05-22,1730.0
1989-05-23,1722.0
1989-05-24,1712.0
1989-05-25,1682.0
1989-05-26,1667.0
1989-05-30,1626.0
1989-05-31,1596.0
1989-06-01,1587.0
1989-06-02,1484.0
1989-06-05,1450.0
1989-06-06,1445.0
1989-06-07,1425.0
1989-06-08,1412.0
1989-06-09,1406.0
1989-06-12,1400.0
1989-06-13,1390.0
1989-06-14,1390.0
1989-06-15,1396.0
1989-06-16,1397.0
1989-06-19,1396.0
1989-06-20,1396.0
1989-06-21,1400.0
1989-06-22,1407.0
1989-06-23,1399.0
1989-06-26,1399.0
1989-06-27,1391.0
1989-06-28,1393.0
1989-06-29,1410.0
1989-06-30,1413.0
1989-07-03,1414.0
1989-07-04,1413.0
1989-07-05,1401.0
1989-07-06,1398.0
1989-07-07,1392.0
1989-07-10,1391.0
1989-07-11,1390.0
1989-07-12,1400.0
1989-07-13,1401.0
1989-07-14,1392.0
1989-07-17,1385.0
1989-07-18,1380.0
1989-07-19,1377.0
1989-07-20,1376.0
1989-07-21,1376.0
1989-07-24,1379.0
1989-07-25,1379.0
1989-07-26,1388.0
1989-07-27,1388.0
1989-07-28,1389.0
1989-07-31,1393.0
1989-08-01,1392.0
1989-08-02,1390.0
1989-08-03,1390.0
1989-08-04,1387.0
1989-08-07,1379.0
1989-08-08,1381.0
1989-08-09,1383.0
1989-08-10,1394.0
1989-08-11,1401.0
1989-08-14,1405.0
1989-08-15,1409.0
1989-08-16,1417.0
1989-08-17,1421.0
1989-08-18,1421.0
1989-08-21,1421.0
1989-08-22,1423.0
1989-08-23,1427.0
1989-08-24,1427.0
1989-08-25,1426.0
1989-08-29,1425.0
1989-08-30,1425.0
1989-08-31,1426.0
1989-09-01,1426.0
1989-09-04,1428.0
1989-09-05,1429.0
1989-09-06,1433.0
1989-09-07,1436.0
1989-09-08,1437.0
1989-09-11,1441.0
1989-09-12,1440.0
1989-09-13,1437.0
1989-09-14,1434.0
1989-09-15,1433.0
1989-09-18,1434.0
1989-09-19,1439.0
1989-09-20,1435.0
1989-09-21,1425.0
1989-09-22,1425.0
1989-09-25,1424.0
1989-09-26,1420.0
1989-09-27,1413.0
1989-09-28,1421.0
1989-09-29,1420.0
1989-10-02,1424.0
1989-10-03,1436.0
1989-10-04,1451.0
1989-10-05,1459.0
1989-10-06,1469.0
1989-10-09,1470.0
1989-10-10,1476.0
1989-10-11,1479.0
1989-10-12,1486.0
1989-10-13,1494.0
1989-10-16,1509.0
1989-10-17,1516.0
1989-10-18,1545.0
1989-10-19,1554.0
1989-10-20,1593.0
1989-10-23,1599.0
1989-10-24,1612.0
1989-10-25,1624.0
1989-10-26,1627.0
1989-10-27,1636.0
1989-10-30,1641.0
1989-10-31,1647.0
1989-11-01,1647.0
1989-11-02,1651.0
1989-11-03,1653.0
1989-11-06,1654.0
1989-11-07,1654.0
1989-11-08,1657.0
1989-11-09,1654.0
1989-11-10,1656.0
1989-11-13,1650.0
1989-11-14,1648.0
1989-11-15,1648.0
1989-11-16,1648.0
1989-11-17,1652.0
1989-11-20,1656.0
1989-11-21,1670.0
1989-11-22,1668.0
1989-11-23,1670.0
1989-11-24,1672.0
1989-11-27,1673.0
1989-11-28,1671.0
1989-11-29,1666.0
1989-11-30,1653.0
1989-12-01,1640.0
