,M6600003
2011-01-01,205.0
2011-01-02,268.0
2011-01-03,301.0
2011-01-04,541.0
2011-01-05,561.0
2011-01-06,627.0
2011-01-07,557.0
2011-01-08,345.0
2011-01-09,318.0
2011-01-10,539.0
2011-01-11,588.0
2011-01-12,571.0
2011-01-13,526.0
2011-01-14,522.0
2011-01-15,322.0
2011-01-16,265.0
2011-01-17,446.0
2011-01-18,492.0
2011-01-19,500.0
2011-01-20,470.0
2011-01-21,434.0
2011-01-22,289.0
2011-01-23,275.0
2011-01-24,423.0
2011-01-25,430.0
2011-01-26,410.0
2011-01-27,419.0
2011-01-28,353.0
2011-01-29,269.0
2011-01-30,202.0
2011-01-31,272.0
2011-02-01,129.0
2011-02-02,95.0
2011-02-03,101.0
2011-02-04,168.0
2011-02-05,131.0
2011-02-06,220.0
2011-02-07,179.0
2011-02-08,289.0
2011-02-09,482.0
2011-02-10,772.0
2011-02-11,856.0
2011-02-12,758.0
2011-02-13,570.0
2011-02-14,860.0
2011-02-15,443.0
2011-02-16,173.0
2011-02-17,572.0
2011-02-18,795.0
2011-02-19,490.0
2011-02-20,394.0
2011-02-21,867.0
2011-02-22,883.0
2011-02-23,865.0
2011-02-24,763.0
2011-02-25,779.0
2011-02-26,432.0
2011-02-27,406.0
2011-02-28,878.0
2011-03-01,878.0
2011-03-02,853.0
2011-03-03,873.0
2011-03-04,819.0
2011-03-05,409.0
2011-03-06,415.0
2011-03-07,726.0
2011-03-08,654.0
2011-03-09,758.0
2011-03-10,834.0
2011-03-11,670.0
2011-03-12,398.0
2011-03-13,357.0
2011-03-14,659.0
2011-03-15,745.0
2011-03-16,781.0
2011-03-17,665.0
2011-03-18,586.0
2011-03-19,384.0
2011-03-20,359.0
2011-03-21,695.0
2011-03-22,770.0
2011-03-23,705.0
2011-03-24,750.0
2011-03-25,731.0
2011-03-26,391.0
2011-03-27,319.0
2011-03-28,688.0
2011-03-29,664.0
2011-03-30,697.0
2011-03-31,910.0
2011-04-01,730.0
2011-04-02,534.0
2011-04-03,328.0
2011-04-04,336.0
2011-04-05,311.0
2011-04-06,686.0
2011-04-07,717.0
2011-04-08,652.0
2011-04-09,407.0
2011-04-10,346.0
2011-04-11,713.0
2011-04-12,781.0
2011-04-13,743.0
2011-04-14,706.0
2011-04-15,737.0
2011-04-16,408.0
2011-04-17,369.0
2011-04-18,759.0
2011-04-19,776.0
2011-04-20,881.0
2011-04-21,821.0
2011-04-22,723.0
2011-04-23,438.0
2011-04-24,343.0
2011-04-25,695.0
2011-04-26,801.0
2011-04-27,761.0
2011-04-28,749.0
2011-04-29,672.0
2011-04-30,320.0
2011-05-01,288.0
2011-05-02,311.0
2011-05-03,637.0
2011-05-04,679.0
2011-05-05,738.0
2011-05-06,659.0
2011-05-07,387.0
2011-05-08,367.0
2011-05-09,719.0
2011-05-10,686.0
2011-05-11,783.0
2011-05-12,721.0
2011-05-13,752.0
2011-05-14,444.0
2011-05-15,395.0
2011-05-16,809.0
2011-05-17,773.0
2011-05-18,769.0
2011-05-19,700.0
2011-05-20,679.0
2011-05-21,413.0
