,S5104483
2008-09-01,67.0
2008-09-02,58.6
2008-09-03,66.0
2008-09-04,48.0
2008-09-07,76.2
2008-09-22,52.9
2008-09-23,54.5
2008-09-26,65.6
2008-09-27,61.7
2008-09-29,53.8
2008-09-30,66.9
2008-10-01,58.1
2008-10-02,55.5
2008-10-03,50.8
2008-10-04,57.5
2008-10-05,49.1
2008-10-06,60.5
2008-10-07,64.5
2008-10-08,56.8
2008-10-09,56.4
2008-10-10,49.2
2008-10-11,64.9
2008-10-12,72.8
2008-10-13,54.0
2008-10-14,58.5
2008-10-15,49.7
2008-10-16,37.9
2008-10-17,47.4
2008-10-18,60.3
2008-10-19,63.3
2008-10-20,68.1
2008-10-21,62.5
2008-10-22,56.2
2008-10-23,47.6
2008-10-24,30.0
2008-10-25,46.8
2008-10-26,52.2
2008-10-27,53.1
2008-10-28,53.9
2008-10-29,50.4
2008-10-30,55.8
2008-10-31,50.4
2008-11-01,24.4
2008-11-02,38.0
2008-11-03,42.6
2008-11-04,55.1
2008-11-05,48.3
2008-11-06,48.2
2008-11-07,19.9
2008-11-08,45.7
2008-11-09,52.0
2008-11-10,43.7
2008-11-11,37.4
2008-11-12,41.3
2008-11-13,32.7
2008-11-14,39.4
2008-11-15,40.5
2008-11-16,39.3
2008-11-17,28.2
2008-11-18,33.5
2008-11-19,50.0
2008-11-20,38.1
2008-11-21,41.1
2008-11-22,45.5
2008-11-23,37.4
2008-11-24,38.5
2008-11-25,49.7
2008-11-26,37.1
2008-11-27,39.5
2008-11-28,40.5
2008-11-29,41.6
2008-11-30,38.9
2008-12-01,39.1
2008-12-02,43.1
2008-12-03,21.6
2008-12-04,0.6
2008-12-05,0.0
2008-12-06,45.6
2008-12-07,50.0
2008-12-08,62.3
2008-12-09,42.7
2008-12-10,30.1
2008-12-11,54.4
2008-12-12,27.6
2008-12-13,55.4
2008-12-14,53.4
2008-12-15,52.6
2008-12-16,56.7
2008-12-17,60.3
2008-12-18,58.0
2008-12-19,59.8
2008-12-20,53.0
2008-12-21,4.6
2008-12-22,19.6
2008-12-23,52.5
2008-12-24,60.2
2008-12-25,61.8
2008-12-26,61.6
2008-12-27,63.6
2008-12-28,64.6
2008-12-29,64.8
2008-12-30,50.5
2008-12-31,63.3
2009-01-01,53.4
2009-01-03,53.7
2009-01-04,48.9
2009-01-05,40.1
2009-01-06,58.9
2009-01-07,55.0
2009-01-08,43.3
2009-01-11,35.6
2009-01-12,50.0
2009-01-13,38.3
2009-01-14,40.4
2009-01-15,59.1
2009-01-16,57.7
2009-01-17,49.0
2009-01-18,54.4
2009-01-19,51.6
2009-01-20,49.3
2009-01-21,47.5
2009-01-22,34.9
2009-01-23,34.7
2009-01-24,21.3
2009-01-25,36.4
2009-01-27,37.0
2009-01-28,12.9
2009-01-29,52.0
2009-01-31,45.1
2009-02-01,30.5
2009-02-02,17.8
2009-02-03,43.2
2009-02-04,36.7
2009-02-05,46.5
2009-02-06,52.7
2009-02-07,43.5
2009-02-08,41.1
2009-02-09,28.0
2009-02-10,39.4
2009-02-11,62.9
2009-02-12,42.8
2009-02-13,43.9
2009-02-14,57.2
2009-02-15,45.7
2009-02-16,42.2
2009-02-17,45.8
2009-02-18,44.5
2009-02-19,53.0
2009-02-20,46.9
2009-02-21,29.1
2009-02-22,54.1
2009-02-23,56.3
2009-02-24,42.3
2009-02-25,60.8
2009-02-26,66.5
2009-02-28,59.8
2009-03-01,67.5
2009-03-02,60.7
2009-03-03,57.6
2009-03-04,48.0
2009-03-05,61.7
2009-03-06,64.1
2009-03-07,62.5
2009-03-08,65.0
2009-03-09,51.6
2009-03-10,58.2
2009-03-11,67.2
2009-03-12,52.3
2009-03-13,64.6
2009-03-14,61.6
2009-03-15,60.2
2009-03-16,45.7
2009-03-17,67.3
2009-03-18,55.0
2009-03-19,58.0
2009-03-20,64.8
2009-03-21,44.4
2009-03-22,51.6
2009-03-23,71.6
2009-03-24,73.0
2009-03-25,69.4
2009-03-26,65.6
2009-03-27,72.5
2009-03-28,65.5
2009-03-29,72.3
2009-03-30,61.7
2009-03-31,67.2
2009-04-01,61.0
2009-04-02,62.2
2009-04-03,56.8
2009-04-04,58.5
2009-04-05,67.0
2009-04-06,63.3
2009-04-07,63.3
2009-04-08,53.3
2009-04-09,57.8
2009-04-10,59.5
2009-04-11,52.3
2009-04-12,56.1
2009-04-13,55.1
2009-04-14,35.6
2009-04-15,40.1
2009-04-16,56.5
2009-04-17,54.6
2009-04-18,59.7
2009-04-19,49.3
2009-04-20,47.8
2009-04-21,54.3
2009-04-22,69.5
2009-04-23,50.1
2009-04-24,60.7
2009-04-25,51.6
2009-04-26,59.9
2009-04-27,59.4
