,S2707380
2010-01-02,12.876513
2010-01-03,9.735861
2010-01-04,39.149107
2010-01-05,53.704603
2010-01-06,52.056834
2010-01-07,45.81319
2010-01-08,43.257336
2010-01-09,30.432988
2010-01-10,21.286881
2010-01-11,57.93187
2010-01-12,61.870265
2010-01-13,62.278562
2010-01-14,58.423121
2010-01-15,47.447825
2010-01-16,32.527623
2010-01-17,16.45422
2010-01-18,48.888464
2010-01-19,47.769273
2010-01-20,60.365917
2010-01-21,48.599793
2010-01-22,48.75435
2010-01-23,28.036312
2010-01-24,22.778158
2010-01-25,49.061851
2010-01-26,55.889719
2010-01-27,55.716801
2010-01-28,69.643754
2010-01-29,56.828947
2010-01-30,28.004104
2010-01-31,21.791576
2010-02-01,43.483285
2010-02-02,49.441245
2010-02-03,56.123867
2010-02-04,57.24269
2010-02-05,44.366168
2010-02-06,25.649127
2010-02-07,20.530303
2010-02-08,40.110842
2010-02-09,46.051808
2010-02-10,27.814199
2010-02-11,12.866363
2010-02-12,4.844457
2010-02-13,0.79119
2010-02-14,0.401445
2010-02-15,0.715252
2010-02-16,0.795983
2010-02-17,1.177054
2010-02-18,0.89867
2010-02-19,2.297398
2010-02-20,8.195195
2010-02-21,14.477156
2010-02-22,24.656493
2010-02-23,28.996813
2010-02-24,31.43761
2010-02-25,31.451024
2010-02-26,28.978073
2010-02-27,19.321271
2010-02-28,13.9531
2010-03-01,35.146238
2010-03-02,45.346392
2010-03-03,40.953288
2010-03-04,44.354898
2010-03-05,33.926584
2010-03-06,23.566302
2010-03-07,15.933876
2010-03-08,33.944794
2010-03-09,39.595394
2010-03-10,48.843216
2010-03-11,40.316015
2010-03-12,39.54527
2010-03-13,25.504005
2010-03-14,16.363073
2010-03-15,37.647549
2010-03-16,46.080976
2010-03-17,45.213337
2010-03-18,47.646412
2010-03-19,36.923371
2010-03-20,27.875678
2010-03-21,23.101208
2010-03-22,48.537668
2010-03-23,56.216548
2010-03-24,56.864333
2010-03-25,51.389083
2010-03-26,48.278588
2010-03-27,35.004528
2010-03-28,27.186955
2010-03-29,69.692781
2010-03-30,64.815056
2010-03-31,63.288924
2010-04-01,58.295561
2010-04-02,58.882569
2010-04-03,38.754468
2010-04-04,24.06979
2010-04-05,16.858272
2010-04-06,60.094738
2010-04-07,66.916848
2010-04-08,66.792957
2010-04-09,55.033353
2010-04-10,47.026797
2010-04-11,32.779105
2010-04-12,67.227459
2010-04-13,67.400074
2010-04-14,65.599061
2010-04-15,64.946463
2010-04-16,85.627218
2010-04-17,59.337456
2010-04-18,44.607516
2010-04-19,72.038166
2010-04-20,66.768281
2010-04-21,71.58109
2010-04-22,69.232055
2010-04-23,49.491486
2010-04-24,34.738081
2010-04-25,26.768685
2010-04-26,51.39799
2010-04-27,62.780393
2010-04-28,61.305682
2010-04-29,52.417058
2010-04-30,38.679728
2010-05-01,15.157313
2010-05-02,19.199795
2010-05-03,11.571571
2010-05-04,34.522663
2010-05-05,42.999772
2010-05-06,46.917408
2010-05-07,43.800512
2010-05-08,27.431649
2010-05-09,15.777592
2010-05-10,36.984232
2010-05-11,39.091497
2010-05-12,49.938318
2010-05-13,36.842335
2010-05-14,31.210696
2010-05-15,19.451867
2010-05-16,13.201964
2010-05-17,34.959552
2010-05-18,37.144039
2010-05-19,36.166609
2010-05-20,40.104117
2010-05-21,34.30541
2010-05-22,18.499673
2010-05-23,33.005233
2010-05-24,39.835026
2010-05-25,38.290873
2010-05-26,40.270233
2010-05-27,42.524701
2010-05-28,37.961743
2010-05-29,23.995942
2010-05-30,18.159161
2010-05-31,35.315739
2010-06-01,35.676357
2010-06-02,40.379108
2010-06-03,42.440941
2010-06-04,43.741858
2010-06-05,27.58791
2010-06-06,20.595371
2010-06-07,45.623911
2010-06-08,34.128973
2010-06-09,39.098747
2010-06-10,37.885443
2010-06-11,38.6645
2010-06-12,45.792611
2010-06-13,30.760005
2010-06-14,15.120372
2010-06-15,9.946748
2010-06-16,9.619651
2010-06-17,34.496536
2010-06-18,35.34229
2010-06-19,25.466955
2010-06-20,19.886153
2010-06-21,38.266483
2010-06-22,41.820476
2010-06-23,42.289197
2010-06-24,35.431324
2010-06-25,42.093919
2010-06-26,23.384379
2010-06-27,18.882137
2010-06-28,37.181604
2010-06-29,41.050975
2010-06-30,44.536402
2010-07-01,35.806841
2010-07-02,31.014065
2010-07-03,18.158425
2010-07-04,13.437222
2010-07-05,24.314523
2010-07-06,30.572025
2010-07-07,34.659183
2010-07-08,30.176405
2010-07-09,32.659967
2010-07-10,22.717169
2010-07-11,17.630147
2010-07-12,35.799496
2010-07-13,39.033967
2010-07-14,38.704774
2010-07-15,37.622002
2010-07-16,32.97225
2010-07-17,23.085202
2010-07-18,17.460566
2010-07-19,32.335871
2010-07-20,38.3409
2010-07-21,35.245985
2010-07-22,35.464516
2010-07-23,37.801411
2010-07-24,30.523582
2010-07-25,23.150576
2010-07-26,36.956606
2010-07-27,42.141853
2010-07-28,45.450147
2010-07-29,43.45335
2010-07-30,40.746387
2010-07-31,32.849359
2010-08-01,20.199226
2010-08-02,36.784208
2010-08-03,40.074616
2010-08-04,37.419663
2010-08-05,40.457351
2010-08-06,38.132378
2010-08-07,27.158818
2010-08-08,18.165566
2010-08-09,37.818758
2010-08-10,41.038144
2010-08-11,44.57361
2010-08-12,43.422198
2010-08-13,33.833285
2010-08-14,24.47558
2010-08-15,23.154335
2010-08-16,42.927148
2010-08-17,50.695275
2010-08-18,53.392925
2010-08-19,52.699528
2010-08-20,48.893017
2010-08-21,35.451274
2010-08-22,26.081452
2010-08-23,45.470181
2010-08-24,47.045046
2010-08-25,55.435675
2010-08-26,53.864037
2010-08-27,52.552591
2010-08-28,36.574918
2010-08-29,30.050939
2010-08-30,52.360396
2010-08-31,55.042532
2010-09-01,49.582341
2010-09-02,50.161686
2010-09-03,46.323303
2010-09-04,27.136873
2010-09-05,35.672404
2010-09-06,50.459322
2010-09-07,55.948803
2010-09-08,56.00908
2010-09-09,70.323166
2010-09-10,61.579754
2010-09-11,50.141469
2010-09-12,32.855361
2010-09-13,56.348503
2010-09-14,65.54777
2010-09-15,71.328921
2010-09-16,67.000723
2010-09-17,62.251058
2010-09-18,58.938309
2010-09-19,55.096762
2010-09-20,60.461897
2010-09-21,62.39092
2010-09-22,30.95653
2010-09-23,34.429501
2010-09-24,34.218642
2010-09-25,67.801833
2010-09-26,72.256083
2010-09-27,81.535829
2010-09-28,87.29712
2010-09-29,90.891931
2010-09-30,102.383506
2010-10-01,35.430531
2010-10-02,25.784474
2010-10-03,25.990563
2010-10-04,37.012382
2010-10-05,28.183335
2010-10-06,28.866982
2010-10-07,44.859675
2010-10-08,76.544469
2010-10-09,87.521627
2010-10-10,83.195533
2010-10-11,89.236718
2010-10-12,82.40594
2010-10-13,85.5508
2010-10-14,79.686285
2010-10-15,83.883108
2010-10-16,61.29705
2010-10-17,54.803718
2010-10-18,71.008907
2010-10-19,85.467805
2010-10-20,83.934275
2010-10-21,70.281504
2010-10-22,67.48179
2010-10-23,50.726975
2010-10-24,37.226974
2010-10-25,70.98325
2010-10-26,74.069948
2010-10-27,66.074801
2010-10-28,86.995603
2010-10-29,73.449583
2010-10-30,62.024472
2010-10-31,49.66417
2010-11-01,60.679564
2010-11-02,59.338329
2010-11-03,77.766508
2010-11-04,66.469546
2010-11-05,70.242265
2010-11-06,47.386853
2010-11-07,38.984057
2010-11-08,60.854217
2010-11-09,60.117022
2010-11-10,62.14721
2010-11-11,52.258581
2010-11-12,71.691348
2010-11-13,44.389385
2010-11-14,29.529051
2010-11-15,58.918025
2010-11-16,66.419376
2010-11-17,68.174324
2010-11-18,71.885232
2010-11-19,64.905056
2010-11-20,47.792698
2010-11-21,34.425473
2010-11-22,56.794172
2010-11-23,72.378584
2010-11-24,70.813984
2010-11-25,64.422197
2010-11-26,59.99416
2010-11-27,49.557323
2010-11-28,49.872259
2010-11-29,65.768633
2010-11-30,73.559917
2010-12-01,62.04407
2010-12-02,66.464021
2010-12-03,68.425946
2010-12-04,51.975054
2010-12-05,36.697138
2010-12-06,57.470326
2010-12-07,63.39504
2010-12-08,73.452334
2010-12-09,67.737664
2010-12-10,66.271392
2010-12-11,55.739963
2010-12-12,38.2984
2010-12-13,61.721457
2010-12-14,64.993372
2010-12-15,65.936956
2010-12-16,62.778426
2010-12-17,67.963681
2010-12-18,54.904421
2010-12-19,42.488128
2010-12-20,78.818147
2010-12-21,76.709982
2010-12-22,71.277673
2010-12-23,77.687414
2010-12-24,76.785119
2010-12-25,67.275767
2010-12-26,55.337909
2010-12-27,92.348527
2010-12-28,98.778459
2010-12-29,102.037855
2010-12-30,105.105052
2010-12-31,107.983027
2011-01-01,28.740376
2011-01-02,24.549741
2011-01-03,23.370666
2011-01-04,60.70332
2011-01-05,69.57974
2011-01-06,71.316062
2011-01-07,69.738253
2011-01-08,61.740909
2011-01-09,42.493649
2011-01-10,59.191486
2011-01-11,67.333111
2011-01-12,67.992194
2011-01-13,66.982878
2011-01-14,69.364074
2011-01-15,59.044393
2011-01-16,36.801446
2011-01-17,59.729594
2011-01-18,75.75038
2011-01-19,81.134709
2011-01-20,78.27591
2011-01-21,67.691824
2011-01-22,48.138392
2011-01-23,45.86591
2011-01-24,65.160411
2011-01-25,70.816136
2011-01-26,70.547767
2011-01-27,84.489168
2011-01-28,88.097482
2011-01-29,50.552067
2011-01-30,46.357384
2011-01-31,28.990953
2011-02-01,16.912534
2011-02-02,0.374285
2011-02-03,0.119627
2011-02-04,0.197627
2011-02-05,0.623807
2011-02-06,1.642426
2011-02-07,1.889577
2011-02-08,3.689264
2011-02-09,11.931951
2011-02-10,23.067236
