,S6623764
2007-01-14,3100.0
2007-01-28,2800.0
2007-02-04,5500.0
2007-03-18,3000.0
2007-03-25,2600.0
2007-04-01,2300.0
2007-04-08,2500.0
2007-05-06,8500.0
2007-05-13,4150.0
2007-05-20,3000.0
2007-06-03,3400.0
2007-06-17,5000.0
2007-06-24,4000.0
2007-07-15,11500.0
2007-07-22,10189.0
2007-07-29,8000.0
2007-08-05,7000.0
2007-08-12,8000.0
2007-08-19,9200.0
2007-08-26,4000.0
2007-09-02,3700.0
2007-10-07,5300.0
2007-11-11,4400.0
2007-12-02,3500.0
2007-12-23,12500.0
2008-01-06,8400.0
2008-01-13,4000.0
2008-01-20,3500.0
2008-01-27,3400.0
2008-02-03,8850.0
2008-02-10,11500.0
2008-02-17,11700.0
2008-02-24,6200.0
2008-03-02,4300.0
2008-03-09,4560.0
2008-03-16,3600.0
2008-03-23,6660.0
2008-03-30,5500.0
2008-04-06,7500.0
2008-04-13,4600.0
2008-04-27,9000.0
2008-05-04,12000.0
2008-05-11,5500.0
2008-05-18,4500.0
2008-05-25,2500.0
2008-06-01,5000.0
2008-06-15,5000.0
2008-06-22,6600.0
2008-06-29,9400.0
2008-07-06,9900.0
2008-07-13,15600.0
2008-07-20,13000.0
2008-08-24,5200.0
2008-09-07,7200.0
2008-09-14,5200.0
2008-09-21,5600.0
2008-10-05,17000.0
2008-10-12,8600.0
2008-10-19,7110.0
2008-10-26,5500.0
2008-11-02,4500.0
2008-11-09,7600.0
2008-11-16,6000.0
2008-11-23,5600.0
2008-11-30,5400.0
2008-12-07,8000.0
2008-12-14,8700.0
2008-12-21,13770.0
2009-01-11,14000.0
2009-01-18,12500.0
2009-02-08,8670.0
2009-02-15,10400.0
2009-02-22,4700.0
2009-03-01,6000.0
2009-03-08,3800.0
2009-03-15,5100.0
2009-03-22,4720.0
2009-03-29,4500.0
2009-04-05,5000.0
2009-04-12,4550.0
2009-04-19,4000.0
2009-04-26,8500.0
2009-05-03,10600.0
2009-05-10,8300.0
2009-06-07,5900.0
2009-06-14,7400.0
2009-06-21,6000.0
2009-07-05,15300.0
2009-07-19,16250.0
2009-07-26,15200.0
2009-08-02,15800.0
2009-08-16,14300.0
2009-08-30,12000.0
2009-09-06,6000.0
2009-09-13,4400.0
2009-09-20,13700.0
2009-09-27,12800.0
2009-10-25,8300.0
2009-11-01,8600.0
2009-11-08,6400.0
2009-11-15,11600.0
2009-11-29,18600.0
2009-12-13,20000.0
2009-12-20,19000.0
2010-01-17,26000.0
2010-01-24,23000.0
2010-01-31,29141.0
2010-03-21,12400.0
2010-04-11,12000.0
2010-04-18,14000.0
2010-04-25,13500.0
2010-05-02,17000.0
2010-05-09,17400.0
2010-05-16,11300.0
2010-05-23,9400.0
2010-05-30,10000.0
2010-06-06,12000.0
2010-06-13,7450.0
2010-06-20,14150.0
2010-06-27,12000.0
2010-07-04,13400.0
2010-07-11,15000.0
2010-07-18,11600.0
2010-07-25,24000.0
2010-08-01,28000.0
2010-08-08,21000.0
2010-08-15,15000.0
2010-08-22,25700.0
2010-08-29,20000.0
2010-09-05,15000.0
2010-09-12,16000.0
2010-09-19,15000.0
2010-09-26,21000.0
2010-10-17,10100.0
2010-10-24,8700.0
2010-10-31,8700.0
2010-11-07,7300.0
2010-11-14,9500.0
2010-11-21,18500.0
2010-11-28,16000.0
2010-12-05,18000.0
2010-12-12,19000.0
2010-12-19,25000.0
2010-12-26,47400.0
2011-01-02,35000.0
2011-01-16,17000.0
